product_id,main_category,name,count_sold,final_price,original_price,stock,is_official,rating_average,shop_location,discount_percentage
5320066423,dapur,CSS Kaiserthul stock pot 24 cm / panci stainless 304 import tebal,0,1705000,,2,f,5,Tangerang Selatan,0
14284128258,dapur,Brighton Panci Gagang Enamel 1 L Saucepan GMC9951 Hello Kitty,0,125000,,53,f,5,Semarang,0
915602686,dapur,Stern tryply casseroule 20 cm / panci stainless steel 18/10 import,0,1595000,,4,f,5,Tangerang Selatan,0
822021562,dapur,Lodge Dutch oven cast iron 5 Quartz Panci Besi L8DOL3,0,1683000,,3,f,5,Tangerang Selatan,0
594401241,dapur,CHEFMADE WK9029 268X188X15MM 6 CUP NON STIK MADELINE PAN,0,120000,,28,f,5,Tangerang Selatan,0
393802010,dapur,Mirow CSS Saucepot Saucepan Panci susu Stainless Steel 18/10 pot 16 cm,0,604000,,1,f,5,Tangerang Selatan,0
6765861205,dapur,Emile Henry Stewpot 4540 panci keramik made in france ceramic clay,0,2240000,,1,f,5,Tangerang Selatan,0
100550640887,dapur,Panci alumunium ayano 20cm panci susu / panci mie,0,45000,,96,f,5,Tangerang Selatan,0
393798285,dapur,EXQUISITE TURNER (SS),0,65500,93500,10,f,5,Tangerang Selatan,29.95
12439531689,dapur,Maspion Panci Stock Pot Ceria Enamel 30cm Serbaguna / Panci Rebus Kukus Steamer Serbaguna - FM,0,217317,391800,13,f,5,Surabaya,44.53
887880718,dapur,Brighton IH Marble Frying Sauce Pan 18cm GM1890,0,150000,,20,f,5,Semarang,0
3445277462,dapur,Panci Multifungsi 3 in 1 Stainless Steel,0,133000,190000,92,f,5,Jakarta Utara,30.00
393798131,dapur,Stoneline LowPressure Cooker  Stewpan 24cm,0,2255000,,3,f,5,Tangerang Selatan,0
863817698,dapur,Lodge Dutch oven cast iron 7 Quartz Panci Besi L10DOL3,0,1983000,,1,f,5,Tangerang Selatan,0
393798199,dapur,EXQUISITE LADLE,0,65500,93500,23,f,5,Tangerang Selatan,29.95
2108114595,dapur,Css mirow casserole 24 cm 3L panci stainless steel awet kuat 304 pot,0,851000,,1,f,5,Tangerang Selatan,0
2330052402,dapur,SELM POT 24 cm Panci Anti Lengket Teflon Tanpa Minyak Original,0,682000,,9,f,5,Tangerang Selatan,0
3593396553,dapur,Panci susu stainless steel gagang warna tebal / Panci Indomie,0,55300,79000,82,f,5,Jakarta Utara,30.00
2330062344,dapur,CS SELM POT 20 cm Panci Anti Lengket Teflon Tanpa Minyak Original,0,506000,,2,f,5,Tangerang Selatan,0
14285031524,dapur,Brighton Panci Enamel 1L GMC9941 HELLO KITTY,0,115000,,8,f,5,Semarang,0
1566073720,dapur,Panci Aluminium Ayano Tipis Tahan Panas,0,75000,,36,f,5,Tangerang Selatan,0
594346384,dapur,china panci aluminium non induction 20 cm,0,130000,,46,f,5,Tangerang Selatan,0
393798332,dapur,EXQUISITE CAKE SLICER,0,50000,71500,21,f,5,Tangerang Selatan,30.07
393798082,dapur,"Stoneline Saucepan 18 cm Classic New + tutup kaca Pfoa free ,ptfe free",0,796950,,1,f,5,Tangerang Selatan,0
102151490934,dapur,FM - Makcook Wajan Crepes Pan Teflon Kulit Risol Lumpia Pancake Wok Leather Spring Roll,0,54500,103000,417,f,5,Kab. Tangerang,47.09
11421169138,dapur,Maxim Teflon Frypan Aura 20 cm,0,95744,175800,85,f,5,Surabaya,45.54
5793648352,dapur,Maspion Wajan Milkpan 14 dan 20 cm Pastela - Warna,0,80678,143800,12,f,5,Semarang,43.90
16098303849,dapur,Maspion Saucepan Panci Susu 18 cm Anti Lengket - Merah - FM,0,91058,171000,10,f,5,Surabaya,46.75
6001242070,dapur,Maxim Teflon wajan anti lengket New Halania Wok 26 cm – Hijau,0,130433,231800,31,f,5,Surabaya,43.73
1152725568,dapur,CSP04 Panci Set Stainless 2 Pcs Premium Tebal (Panci & Panci Susu),0,589000,,31,f,5,Jakarta Utara,0
1152730677,dapur,CSP06 Panci Set Stainless 3 Pcs Premium Tebal (Panci & Panci Susu),0,883500,,24,f,5,Jakarta Utara,0
10728819552,dapur,Spidy Panci Sup Marmer 22cm Anti Lengket Tutup Kaca Casserole Cookware,0,318000,,159,f,5,Jakarta Barat,0
915574254,dapur,Sauce Pot Panci Stainless Tebal Tutup Kaca 22 cm,0,140000,,11,f,5,Jakarta Barat,0
12635210873,dapur,Fox Run Cast Iron Saucepot with Basting Brush / Panci Saus Basting,0,769000,,3,f,5,Jakarta Selatan,0
10451089369,dapur,Reo&Homme Casserole Pan Pure Cast Iron Enameled Coating Induction 28CM,0,1264500,3299000,15,f,5,Bogor,61.67
988347641,dapur,Panci Shabu Sukiyaki Grill Stainless Tutup Kaca,0,220000,,1,f,5,Jakarta Barat,0
915583595,dapur,Sauce Pot Panci Stainless Tebal Tutup Kaca 24 cm,0,155000,,3,f,5,Jakarta Barat,0
1596182279,dapur,[COD] Stein Cookware Paket Ruby ( Caserolle 24 cm + Lid & Fry Pan 20 Cm + Lid ) Granit,0,1058085,,2,f,5,Jakarta Barat,0
100590605934,dapur,[COD] BOLDE Super Pan WOK 28 Cm Glas Lid - Black Pink Glass Masak Panci,0,331380,,8,f,5,Jakarta Barat,0
15959467919,dapur,Tokyo1 Micro Oven Egg Cooker Panci Plastik Microwave Tahan Panas 024662,0,35112,39900,11,f,5,Jakarta Utara,12.00
100590609223,dapur,[COD] Miyako Panci Saus / Sauce Pan SP 16 A - 16 Cm Alat Glass Kitchenware,0,151200,,27,f,5,Jakarta Barat,0
100635294626,dapur,[COD] Bolde Organic Green Cookware 5 Pcs Set Frypan Granit,0,684075,,8,f,5,Jakarta Barat,0
15066411385,dapur,[COD] Miyako DFP-1811 M B Deep Fry Pan Marble 18 cm Miyako DFP 1811 M B,0,114450,,14,f,5,Jakarta Barat,0
